Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at
"Saint-Just made it clear that the reach of virtuous terror would be very wide: ""There is no prosperity to hope for as long as the last enemy of liberty breathes. You have to punish not only the traitors, but even those who are indifferent; you have to punish whoever is passive in the republic, and who does nothing for it."" And, chillingly: ""What constitutes a republic is the total destruction of everything that stands opposed to it.""",The Guillotine Mystique,reason.com,,,,,order,2,2020-11-26 03:28:15+00:00
"Robespierre's grand vision was laid out in a February 1794 speech to the Convention titled ""The Principles of Political Morality."" The goal of the Republic, he declared, was to fulfill the true human potential that tyranny had warped: Selfishness, frivolity, greed, sensuality, vanity, and social graces would give way to magnanimity, wisdom, reason, and love of goodness, truth, and glory, ushering in ""the dawn of the bright day of universal happiness."" Until then, ""the despotism of liberty against tyranny"" would have to do: ""If the spring of popular government in time of peace is virtue, the springs of popular government in revolution are at once virtue and terror. Virtue without terror is fatal; terror without virtue is powerless. Terror is nothing other than justice: prompt, severe, inflexible. It is therefore an emanation of virtue."" Talk of mercy, Robespierre stressed, was dangerously misguided: ""To punish the oppressors of humanity is clemency; to forgive them is cruelty.""",The Guillotine Mystique,reason.com,,,,,order,1,2020-11-26 03:28:09+00:00
"Besides privacy, another thing people are said to luxuriate in is hot water – a bath, a shower, a hot springs. Part of this is the pleasure of not having to expend energy maintaining temperature homeostasis. The pleasure of privacy is similar: freedom from having to expend cognitive energy in modeling others and conforming one’s behavior to the standards of public self-presentation, in order to maintain status homeostasis. Privacy is a form of rest.",Luxuriating in Privacy,ribbonfarm.com,,,,favorite,order,1,2020-11-12 01:36:29+00:00
"When you’re trying to draw reliable inferences from improbable events, wiggle room is the enemy.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,order,19,2020-09-21 04:53:16.752500+00:00
"Most mathematicians would say that, in the end, the disasters and atrocities of history form what we call a partially ordered set. That’s a fancy way of saying that some pairs of disasters can be meaningfully compared and others cannot.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,18,2020-09-21 04:53:16.752456+00:00
"“It is an old maxim of mine that when you have excluded the impossible, whatever remains, however improbable, must be the truth, unless the truth is a hypothesis it didn’t occur to you to consider.”",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,order,17,2020-09-21 04:53:16.752405+00:00
"Biologists are eager to think regression stems from biology, management theorists like Secrist want it to come from competition, literary critics ascribe it to creative exhaustion—but it is none of these. It is mathematics.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,16,2020-09-21 04:53:16.752333+00:00
"Keep this in mind when you’re told that two phenomena in nature or society were found to be uncorrelated. It doesn’t mean there’s no relationship, only that there’s no relationship of the sort that correlation is designed to detect.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,order,15,2020-09-21 04:53:16.752289+00:00
"The more chances you give yourself to be surprised, the higher your threshold for surprise had better be.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,14,2020-09-21 04:53:16.752244+00:00
"Aristotle, as usual, was here first: despite lacking any formal notion of probability, he was able to understand that “it is probable that improbable things will happen. Granted this, one might argue that what is improbable is probable.”",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,13,2020-09-21 04:53:16.752200+00:00
To paraphrase Clausewitz: Mathematics is the extension of common sense by other means.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,order,12,2020-09-21 04:53:16.752142+00:00
"To a mathematician, the structure underlying the bullet hole problem is a phenomenon called survivorship bias. It arises again and again, in all kinds of contexts. And once you’re familiar with it, as Wald was, you’re primed to notice it wherever it’s hiding.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,11,2020-09-21 04:53:16.752066+00:00
"In the Bayesian framework, how much you believe something after you see the evidence depends not just on what the evidence shows, but on how much you believed it to begin with.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,10,2020-09-21 04:53:16.751955+00:00
"Working an integral or performing a linear regression is something a computer can do quite effectively. Understanding whether the result makes sense—or deciding whether the method is the right one to use in the first place—requires a guiding human hand. When we teach mathematics we are supposed to be explaining how to be that guide. A math course that fails to do so is essentially training the student to be a very slow, buggy version of Microsoft Excel.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,9,2020-04-16 19:32:44.957181+00:00
Don’t talk about percentages of numbers when the numbers might be negative.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,order,8,2020-04-16 19:32:44.957109+00:00
"Improbability, as described here, is a relative notion, not an absolute one; when we say an outcome is improbable, we are always saying, explicitly or not, that it is improbable under some set of hypotheses we’ve made about the underlying mechanisms of the world.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,7,2020-04-16 19:32:44.957042+00:00
"A mathematician is always asking, “What assumptions are you making? And are they justified?”",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,6,2020-04-16 19:32:44.956972+00:00
Dividing one number by another is mere computation; figuring out what you should divide by what is mathematics.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,5,2020-04-16 19:32:44.956864+00:00
Mathematics is the study of things that come out a certain way because there is no other way they could possibly be.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,4,2020-04-16 19:32:44.956381+00:00
Nonlinear thinking means which way you should go depends on where you already are.,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,3,2020-04-16 19:32:44.956291+00:00
"An important rule of mathematical hygiene: when you’re field-testing a mathematical method, try computing the same thing several different ways. If you get several different answers, something’s wrong with your method.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,2,2020-04-16 19:32:44.956207+00:00
"That’s how the Law of Large Numbers works: not by balancing out what’s already happened, but by diluting what’s already happened with new data, until the past is so proportionally negligible that it can safely be forgotten.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,discard,order,1,2020-04-16 19:32:44.956130+00:00
"A basic rule of mathematical life: if the universe hands you a hard problem, try to solve an easier one instead, and hope the simple version is close enough to the original problem that the universe doesn’t object.",How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,B00G3L6JQ4,,,,,0,2020-04-16 19:32:44.955978+00:00
"The problem at the root of such calamities is that humans evolved for millions of years in small bands of a few dozen individuals. The handful of millennia separating the Agricultural Revolution from the appearance of cities, kingdoms and empires was not enough time to allow an instinct for mass cooperation to evolve.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,,order,20,2020-08-25 04:22:30.782010+00:00
"Christians and Muslims who could not agree on religious beliefs could nevertheless agree on a monetary belief, because whereas religion asks us to believe in something, money asks us to believe that other people believe in something.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,19,2020-08-25 04:22:30.781823+00:00
Religion can thus be defined as a system of human norms and values that is founded on a belief in a superhuman order.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,,order,18,2020-08-25 04:22:30.781641+00:00
He encapsulated his teachings in a single law: suffering arises from craving; the only way to be fully liberated from suffering is to be fully liberated from craving; and the only way to be liberated from craving is to train the mind to experience reality as it is.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,17,2020-08-25 04:22:30.781421+00:00
"There is no way out of the imagined order. When we break down our prison walls and run towards freedom, we are in fact running into the more spacious exercise yard of a bigger prison.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,16,2020-08-25 04:22:30.781256+00:00
"The heated debates about Homo sapiens’ ‘natural way of life’ miss the main point. Ever since the Cognitive Revolution, there hasn’t been a single natural way of life for Sapiens. There are only cultural choices, from among a bewildering palette of possibilities.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,15,2020-08-25 04:22:30.781073+00:00
"Money is accordingly a system of mutual trust, and not just any system of mutual trust: money is the most universal and most efficient system of mutual trust ever devised.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,13,2020-08-25 04:22:30.780890+00:00
"The human collective knows far more today than did the ancient bands. But at the individual level, ancient foragers were the most knowledgeable and skilful people in history.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,,order,12,2020-08-25 04:22:30.780706+00:00
"Sapiens can cooperate in extremely flexible ways with countless numbers of strangers. That’s why Sapiens rule the world, whereas ants eat our leftovers and chimps are locked up in zoos and research laboratories.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,11,2020-08-25 04:22:30.780529+00:00
The most important impact of script on human history is precisely this: it has gradually changed the way humans think and view the world. Free association and holistic thought have given way to compartmentalisation and bureaucracy.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,10,2020-08-25 04:22:30.780418+00:00
"The immense diversity of imagined realities that Sapiens invented, and the resulting diversity of behaviour patterns, are the main components of what we call ‘cultures’. Once cultures appeared, they never ceased to change and develop, and these unstoppable alterations are what we call ‘history’.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,1,2020-04-16 19:32:49.324601+00:00
"The real difference between us and chimpanzees is the mythical glue that binds together large numbers of individuals, families and groups. This glue has made us the masters of creation.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,,0,2020-04-16 19:32:49.324455+00:00
"The appearance of new ways of thinking and communicating, between 70,000 and 30,000 years ago, constitutes the Cognitive Revolution.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,9,2020-04-16 19:32:49.333882+00:00
This is the essence of the Agricultural Revolution: the ability to keep more people alive under worse conditions.,Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,8,2020-04-16 19:32:49.333701+00:00
"Ever since the Cognitive Revolution, Sapiens have thus been living in a dual reality. On the one hand, the objective reality of rivers, trees and lions; and on the other hand, the imagined reality of gods, nations and corporations. As time went by, the imagined reality became ever more powerful, so that today the very survival of rivers, trees and lions depends on the grace of imagined entities such as the United States and Google.",Sapiens: A Brief History of Humankind,Yuval Noah Harari,B00ICN066A,,,discard,order,7,2020-04-16 19:32:49.333575+00:00
